dien_tich,so_phong_ngu,so_phong_tam,quan_huyen,loai_bds,gia_tien
230.2,3,3,Quan 1,NhaO,63.806
53.5,4,4,Nha Be,NhaO,3.161
166.4,2,1,Quan 10,NhaO,26.794
80.5,2,2,Quan 10,CanHo,6.723
121.9,3,3,Tan Binh,NhaO,18.316
42.0,1,1,Quan 5,CanHo,3.56
110.8,1,1,Quan 3,CanHo,9.074
127.6,3,3,Hoc Mon,CanHo,3.283
238.7,2,2,Quan 10,NhaO,46.619
81.0,3,3,Quan 11,CanHo,5.55
219.5,5,3,Quan 11,NhaO,33.333
226.9,3,2,Nha Be,NhaO,13.683
257.6,6,6,Binh Thanh,NhaO,42.96
138.3,2,2,Binh Thanh,NhaO,22.022
102.8,3,2,Quan 8,CanHo,5.363
231.1,4,3,Quan 10,NhaO,48.291
75.1,2,2,Binh Chanh,CanHo,1.907
262.5,3,1,Quan 3,NhaO,54.722
38.9,3,2,Hoc Mon,CanHo,0.938
214.1,4,3,Quan 5,NhaO,47.874
63.7,2,1,Quan 5,CanHo,4.504
114.3,1,1,Thu Duc,CanHo,6.047
131.0,3,1,Quan 6,NhaO,20.568
117.5,2,2,Hoc Mon,NhaO,5.709
38.3,1,1,Quan 10,CanHo,2.983
236.8,3,1,Nha Be,NhaO,14.335
172.5,4,3,Quan 11,NhaO,31.823
137.7,5,3,Quan 12,NhaO,9.62
58.8,1,1,Quan 5,CanHo,4.011
89.5,2,1,Binh Chanh,NhaO,4.376
274.5,6,5,Quan 4,NhaO,49.884
210.6,3,1,Quan 11,NhaO,29.04
116.7,3,3,Quan 10,CanHo,8.685
77.7,4,4,Go Vap,CanHo,4.407
138.7,3,3,Quan 3,NhaO,30.915
151.1,4,4,Nha Be,NhaO,9.579
149.6,6,4,Quan 4,NhaO,26.908
280.1,6,6,Quan 4,NhaO,53.246
55.1,3,3,Binh Tan,CanHo,1.969
101.6,6,5,Phu Nhuan,NhaO,23.666
52.5,2,2,Quan 6,CanHo,3.392
45.4,4,3,Binh Thanh,NhaO,7.199
289.4,2,2,Quan 3,NhaO,57.76
139.0,4,4,Quan 10,NhaO,28.419
52.1,5,3,Hoc Mon,NhaO,2.643
54.1,3,3,Quan 11,CanHo,3.603
153.5,6,6,Quan 12,NhaO,10.579
175.2,4,3,Quan 4,NhaO,29.154
127.0,3,2,Quan 4,CanHo,9.01
138.3,1,1,Hoc Mon,CanHo,3.321
101.4,2,1,Quan 6,NhaO,13.891
97.3,3,3,Quan 12,CanHo,3.739
84.8,1,1,Thu Duc,CanHo,4.267
32.4,2,1,Quan 3,CanHo,2.831
108.2,1,1,Nha Be,CanHo,2.916
39.7,3,1,Nha Be,NhaO,2.451
36.5,3,3,Quan 6,CanHo,2.705
210.1,3,1,Quan 10,NhaO,41.927
112.9,2,2,Hoc Mon,CanHo,2.919
36.7,5,4,Tan Binh,NhaO,5.795
60.8,1,1,Quan 10,CanHo,4.896
53.6,4,3,Quan 10,CanHo,4.388
36.4,3,2,Quan 10,NhaO,6.454
124.8,4,3,Quan 11,NhaO,21.515
44.5,2,2,Quan 1,CanHo,5.753
43.7,3,2,Quan 3,CanHo,4.707
97.5,1,1,Tan Binh,CanHo,6.391
42.0,4,4,Quan 11,NhaO,7.095
146.5,5,4,Go Vap,NhaO,15.777
166.9,5,4,Quan 12,NhaO,11.735
45.7,3,2,Nha Be,CanHo,1.601
183.7,4,2,Hoc Mon,NhaO,9.417
54.7,3,2,Quan 12,CanHo,1.935
157.8,6,4,Thu Duc,NhaO,14.384
169.2,5,3,Quan 12,NhaO,11.7
90.7,3,3,Quan 12,NhaO,5.35
195.0,6,6,Binh Tan,NhaO,16.035
163.5,3,3,Phu Nhuan,NhaO,36.372
240.2,3,3,Quan 5,NhaO,52.227
92.2,1,1,Quan 3,CanHo,7.67
138.7,3,2,Thu Duc,CanHo,7.687
80.2,2,1,Nha Be,CanHo,2.496
236.8,4,3,Quan 11,NhaO,40.293
40.4,2,2,Tan Phu,CanHo,1.751
40.7,2,2,Nha Be,CanHo,1.273
47.3,4,3,Quan 8,NhaO,5.758
54.3,3,2,Quan 3,CanHo,6.1
132.7,2,1,Binh Chanh,NhaO,5.951
90.1,2,1,Tan Binh,CanHo,5.178
35.1,3,2,Binh Tan,CanHo,1.422
137.9,1,1,Quan 6,CanHo,8.39
203.5,3,2,Quan 4,NhaO,32.423
67.4,4,3,Phu Nhuan,CanHo,6.549
113.2,3,2,Quan 11,CanHo,8.536
112.9,1,1,Quan 1,CanHo,12.468
233.6,3,3,Quan 3,NhaO,60.53
64.1,5,5,Quan 10,NhaO,13.77
218.9,6,5,Tan Phu,NhaO,21.153
290.5,2,1,Quan 7,NhaO,31.592
105.2,3,2,Binh Chanh,CanHo,3.085
189.9,6,4,Quan 4,NhaO,35.579
119.0,1,1,Hoc Mon,CanHo,2.594
86.6,3,3,Quan 4,CanHo,7.498
78.8,3,2,Quan 5,CanHo,7.153
111.2,2,1,Quan 7,CanHo,7.694
124.0,1,1,Binh Thanh,CanHo,10.302
183.9,5,4,Tan Phu,NhaO,17.68
51.6,2,1,Binh Thanh,CanHo,4.38
127.1,2,2,Quan 11,CanHo,8.524
95.2,4,3,Quan 4,NhaO,17.746
